mode,seed_index,height,complexity,constraint_id,constraint_name,k,width,table_bytes,par,retries,hidden_bytes,hidden_validation_steps,hidden_validation_allocations,table_validation_steps,table_validation_allocations
global,2,16,2560,1,no-digits,8,18,286,37,0,37,145,105,420,797
global,2,16,4095,4,builtin-cap,8,24,281,34,0,34,121,121,404,733
global,2,255,16,0,none,3,6,89,27,0,27,43,34,67,130
global,2,255,255,0,none,3,7,65,25,0,25,43,34,55,82
global,2,255,256,5,single-lambda,3,7,95,30,0,30,50,22,55,82
global,2,255,512,1,no-digits,4,8,111,30,0,30,53,29,94,137
global,2,255,1024,2,no-quote,5,10,140,30,2,30,70,36,123,128
global,2,255,2560,1,no-digits,8,18,241,30,0,30,107,57,340,477
global,2,255,4095,6,small-literals,8,24,314,31,0,31,121,121,404,733
global,2,4096,16,0,none,3,6,88,27,0,27,43,34,67,130
global,2,4096,255,0,none,3,7,85,27,0,27,43,34,67,130
global,2,4096,256,1,no-digits,3,7,100,30,0,30,37,37,73,154
global,2,4096,512,3,letrec-required,4,8,148,57,0,57,73,77,142,273
global,2,4096,1024,6,small-literals,5,10,175,24,0,24,56,66,172,324
global,2,4096,2560,2,no-quote,8,18,163,55,0,55,249,305,297,305
global,2,4096,4095,7,fold-required,8,24,208,78,1,78,297,393,388,565
global,3,0,16,0,none,3,6,90,27,0,27,43,34,67,130
global,3,0,255,0,none,3,7,90,27,0,27,43,34,67,130
global,3,0,256,3,letrec-required,3,7,119,56,0,56,61,64,85,160
global,3,0,512,3,letrec-required,4,8,148,57,0,57,73,77,142,273
global,3,0,1024,2,no-quote,5,10,110,25,1,25,71,56,123,128
global,3,0,2560,2,no-quote,8,18,211,30,0,30,97,57,297,305
global,3,0,4095,2,no-quote,8,24,184,25,0,25,113,89,297,305
global,3,1,16,0,none,3,6,74,30,0,30,34,22,55,82
global,3,1,255,0,none,3,7,118,30,0,30,37,37,73,154
global,3,1,256,5,single-lambda,3,7,99,30,0,30,43,34,79,178
global,3,1,512,1,no-digits,4,8,117,30,1,30,55,29,94,137
global,3,1,1024,2,no-quote,5,10,91,29,0,29,61,56,123,128
global,3,1,2560,4,builtin-cap,8,18,253,34,0,34,127,73,340,477
global,3,1,4095,2,no-quote,8,24,174,25,0,25,113,89,297,305
global,3,16,16,0,none,3,6,87,28,0,28,37,28,73,154
global,3,16,255,0,none,3,7,85,30,0,30,37,37,73,154
global,3,16,256,1,no-digits,3,7,108,30,1,30,37,37,73,154
global,3,16,512,5,single-lambda,4,8,125,28,0,28,49,69,118,233
global,3,16,1024,4,builtin-cap,5,10,153,27,0,27,71,56,162,284
global,3,16,2560,1,no-digits,8,18,256,25,0,25,97,137,388,669
global,3,16,4095,4,builtin-cap,8,24,226,30,0,30,99,57,340,477
global,3,255,16,0,none,3,6,88,27,0,27,43,34,67,130
global,3,255,255,0,none,3,7,99,28,0,28,37,28,73,154
global,3,255,256,5,single-lambda,3,7,117,27,0,27,34,40,73,154
global,3,255,512,0,none,4,8,127,29,0,29,49,69,118,233
global,3,255,1024,7,fold-required,5,10,137,49,0,49,101,111,172,259
global,3,255,2560,6,small-literals,8,18,257,35,0,35,131,73,340,477
global,3,255,4095,6,small-literals,8,24,243,28,0,28,97,137,388,669
global,3,4096,16,0,none,3,6,111,27,0,27,34,40,73,154
global,3,4096,255,0,none,3,7,98,30,1,30,43,34,79,178
global,3,4096,256,0,none,3,7,93,30,0,30,48,22,55,82
global,3,4096,512,3,letrec-required,4,8,152,59,0,59,73,89,142,273
global,3,4096,1024,2,no-quote,5,10,177,30,1,30,61,61,163,158
global,3,4096,2560,4,builtin-cap,8,18,241,28,0,28,97,73,388,669
global,3,4096,4095,6,small-literals,8,24,276,38,0,38,153,73,340,477
global,4,0,16,0,none,3,6,90,27,0,27,43,34,67,130
global,4,0,255,0,none,3,7,90,27,0,27,43,34,67,130
global,4,0,256,3,letrec-required,3,7,119,56,0,56,61,64,85,160
global,4,0,512,3,letrec-required,4,8,148,57,0,57,73,77,142,273
global,4,0,1024,2,no-quote,5,10,110,25,1,25,71,56,123,128
global,4,0,2560,2,no-quote,8,18,211,30,0,30,97,57,297,305
global,4,0,4095,2,no-quote,8,24,184,25,0,25,113,89,297,305
global,4,1,16,0,none,3,6,89,30,0,30,37,37,73,154
global,4,1,255,0,none,3,7,80,30,0,30,40,22,55,82
global,4,1,256,1,no-digits,3,7,92,30,0,30,37,37,73,154
global,4,1,512,1,no-digits,4,8,156,30,0,30,49,49,118,233
global,4,1,1024,7,fold-required,5,10,209,50,0,50,86,121,202,379
global,4,1,2560,4,builtin-cap,8,18,316,41,0,41,129,249,388,669
global,4,1,4095,6,small-literals,8,24,247,30,1,30,113,57,340,477
global,4,16,16,0,none,3,6,75,30,0,30,36,22,55,82
global,4,16,255,0,none,3,7,89,30,0,30,43,34,79,178
global,4,16,256,0,none,3,7,89,27,0,27,43,34,67,130
global,4,16,512,1,no-digits,4,8,127,30,0,30,49,49,118,233
global,4,16,1024,7,fold-required,5,10,156,52,0,52,91,101,202,379
global,4,16,2560,7,fold-required,8,18,219,49,0,49,161,177,388,565
